"Отметка времени","Насколько много новой информации вы узнали благодаря этому сайту? Оцените от 0 до 10, учитывая только те главы, которые вы изучили — до и после их прочтения.","Насколько сильно это помогает или помогло бы вам для решения лабораторных работ? (0–10)","Насколько сильно у вас появился интерес к языку после использования сайта? (0–10)","Насколько вы уверены в своих знаниях по темам, пройденным на сайте? (0–10)","Сможете ли вы объяснить ключевые концепции C++ другому человеку после прохождения параграфа? (Насколько понятно написано)","Стали ли вы чаще применять лучшие практики C++ (brace initialization, `const`-correctness, STL вместо ручных реализаций) в своём коде после использования сайта? (0–10)","Как изменилось время, которое вы тратите на выполнение лабораторных работ по C++ (либо для саморазвития)","Как часто вы возвращаетесь к материалам сайта для повторения?","Сколько раз в день вы заходили на сайт в среднем?","Что нужно добавить сайту, чтобы вы чаще на него заходили и учились?","Интерес к языку C++","Хотели бы вы, чтобы был похожий сайт для интересного вам языка программирования?","Столбец 12"
"07.04.2026 20:54:32","10","8","10","8","10","10","Не изменилось","Раз в неделю","2 раза","Добавить его в обязательную программу, чтобы учеба на нем исходила не только из мотивации но и из обязательства ","Мне интересен язык","Да",""
"07.04.2026 22:10:47","10","8","10","9","10","10","Не изменилось","Раз в неделю","2 раза","Всего хватает","Мне интересен язык","Да",""
"07.04.2026 16:56:34","8","9","10","10","9","8","Сильно сократилось","2 раза в неделю","3 раза","","Мне интересен язык","Да",""
"07.04.2026 21:59:56","7","8","10","9","8","8","Немного сократилось","2 раза в неделю","2 раза","Не знаю, всё нравится уже ","Мне интересен язык","Да",""
"07.04.2026 16:59:20","6","8","8","9","8","10","У меня сейчас нет их","Раз в неделю","2 раза","","Мне интересен язык","Да",""
"07.04.2026 20:28:35","6","6","9","7","9","7","Не изменилось","Раз в неделю","1 раз","","Мне интересен язык","Да",""
"07.04.2026 22:13:16","7","6","9","8","5","7","Не изменилось","Раз в неделю","1 раз","По теории все вроде бы норм","Мне интересен язык","Да",""
"07.04.2026 18:15:38","6","6","8","9","9","10","Немного сократилось","Раз в неделю","1 раз","","Хочу развиваться в другом направлении","Да",""
"07.04.2026 20:28:04","8","9","7","9","9","7","Сильно сократилось","Каждый день","3 раза","","Мне интересен язык","Нет",""
"07.04.2026 20:43:42","8","8","7","9","9","7","Сильно сократилось","Каждый день","3 раза","Я считаю, что для повторения и закрепления теории сайт подходит в текущем виде.","Мне интересен язык","Да",""
"07.04.2026 20:27:03","7","6","6","8","5","5","Немного сократилось","Раз в неделю","1 раз","","Хочу развиваться в другом направлении","Да",""
"07.04.2026 22:08:16","6","6","5","7","5","6","Немного сократилось","Раз в неделю","1 раз","Привязку почты с еженедельными напоминаниями и давлением на жалость","Хочу развиваться в другом направлении","Возможно",""
"07.04.2026 21:50:25","10","7","8","9","8","6","Немного сократилось","3 раза в неделю","2 раза",".","Мне интересен язык","Нет",""
"07.04.2026 17:14:12","10","6","6","7","4","6","Значительно сократилось","Раз в неделю","2 раза","","Мне интересен язык","Да",""
"07.04.2026 20:35:27","8","9","4","8","9","5","Немного сократилось","Раз в неделю","1 раз","Более сложные задания и примеры использования","Хочу развиваться в другом направлении","Да",""
"07.04.2026 20:26:14","7","9","8","8","7","7","Немного сократилось","Раз в неделю","1 раз","","Хочу развиваться в другом направлении","Возможно",""
"07.04.2026 22:22:38","8","7","10","9","8","9","Немного сократилось","2 раза в неделю","2 раза","Не знаю, мне все понравилось ","Мне интересен язык","Да",""
"07.04.2026 22:38:02","10","5","6","5","4","5","Значительно сократилось","Раз в неделю","2 раза","Добавить больше задач по разным темам, чтобы была возможность больше ""нарешивать""","Мне интересен язык","Да",""
"07.04.2026 22:38:02","8","7","7","8","8","7","Немного сократилось","Раз в неделю","1 раз","Сайту побольше вопросов, сложных тем, хорошо разобранных","Хочу развиваться в другом направлении","Возможно",
